reach_length_HR,reach_length_py
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141113
,0.11839563
,0.220395142
,0.28176001
,0.266379883
,0.328125
,0.4275
,0.376800049
,0.29663501
,0.304800049
,0.339294922
,0.304804932
,0.258449951
,0.304804932
,0.378210205
,0.404774902
,0.355030029
,0.385840088
,0.36470166
,0.286123291
,0.286123047
,0.34655127
,0.230239746
,0.244890137
,0.378790039
,0.289067383
,0.256834961
,0.264232422
,0.177240234
,0.18320752
,0.196487305
,0.062720215
,0.200820312
,0.339450195
,0.322609863
,0.328370117
,0.337125
,0.295899902
,0.222359863
,0.222359863
,0.242625488
,0.262890137
,0.329864746
,0.285674805
,0.216797363
,0.259084961
,0.253184082
,0.247283203
,0.247283203
,0.255706543
,0.313149902
,0.285519531
,0.276075195
,0.266640625
,0.304804688
,0.276459961
,0.303709961
,0.282354492
,0.145700195
,0.134830078
,0.221040039
,0.27281543
,0.219552734
,0.266695312
,0.261333008
,0.211799805
,0.108864258
,0.066759766
,0.081025391
,0.099240234
,0.160174805
,0.170334961
,0.093285156
,0.078770508
,0.063456055
,0.02922168
,0.029222656
,0.04222168
,0.184179688
,0.188030273
,0.072860352
,0.087318359
,0.095079102
,0.114805664
,0.214274414
,0.197109375
,0.093822266
,0.047537109
,0.018919922
,0.033621094
,0.088326172
,0.100719727
,0.071417969
,0.088522461
,0.233929687
,0.256794922
,0.168740234
,0.22534082
,0.243354492
,0.152744141
,0.051533203
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019115234
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019021484
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018101563
,0.017276367
,0.017275391
,0.017276367
,0.017276367
,0.017275391
,0.017276367
,0.017978516
,0.018679688
,0.018679688
,0.018679688
,0.018679688
,0.018679687
,0.018680664
,0.018680664
,0.018679688
,0.018679688
,0.019177734
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.069958008
,0.120543945
,0.065943359
,0.011040039
,0.014452148
,0.017863281
,0.017864258
,0.017864258
,0.017864258
,0.017864258
,0.017863281
,0.017864258
,0.017864258
,0.018533203
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019201172
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.038880859
,0.037634766
,0.0315
,0.049825195
,0.064020508
,0.060200195
,0.045719727
,0.175269531
,0.30481543
,0.30481543
,0.30481543
,0.368644531
,0.432279297
,0.432080078
,0.432080078
,0.432080078
,0.278881836
,0.267957031
,0.410230469
,0.410224609
,0.410235352
,0.409640625
,0.204514648
,-32.07279384
,0.051763878
,0.051763874
,0.051763878
,0.051763885
,0.07017395
,0.08858403
,0.08858403
,0.08858403
,0.088584045
,0.333671997
,0.335950531
,0.093141113
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141113
,0.11839563
,0.220395142
,0.28176001
,0.266379883
,0.328125
,0.4275
,0.376800049
,0.29663501
,0.304800049
,0.339294922
,0.304804932
,0.258449951
,0.304804932
,0.378210205
,0.404774902
,0.355030029
,0.385840088
,0.36470166
,0.286123291
,0.286123047
,0.34655127
,0.230239746
,0.244890137
,0.378790039
,0.289067383
,0.256834961
,0.264232422
,0.177240234
,0.18320752
,0.196487305
,0.062720215
,0.200820312
,0.339450195
,0.322609863
,0.328370117
,0.337125
,0.295899902
,0.222359863
,0.222359863
,0.242625488
,0.262890137
,0.329864746
,0.285674805
,0.216797363
,0.259084961
,0.253184082
,0.247283203
,0.247283203
,0.255706543
,0.313149902
,0.285519531
,0.276075195
,0.266640625
,0.304804688
,0.276459961
,0.303709961
,0.282354492
,0.145700195
,0.134830078
,0.221040039
,0.27281543
,0.219552734
,0.266695312
,0.261333008
,0.211799805
,0.108864258
,0.066759766
,0.081025391
,0.099240234
,0.160174805
,0.170334961
,0.093285156
,0.078770508
,0.063456055
,0.02922168
,0.029222656
,0.04222168
,0.184179688
,0.188030273
,0.072860352
,0.087318359
,0.095079102
,0.114805664
,0.214274414
,0.197109375
,0.093822266
,0.047537109
,0.018919922
,0.033621094
,0.088326172
,0.100719727
,0.071417969
,0.088522461
,0.233929687
,0.256794922
,0.168740234
,0.22534082
,0.243354492
,0.152744141
,0.051533203
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019115234
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019021484
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018101563
,0.017276367
,0.017275391
,0.017276367
,0.017276367
,0.017275391
,0.017276367
,0.017978516
,0.018679688
,0.018679688
,0.018679688
,0.018679688
,0.018679687
,0.018680664
,0.018680664
,0.018679688
,0.018679688
,0.019177734
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.069958008
,0.120543945
,0.065943359
,0.011040039
,0.014452148
,0.017863281
,0.017864258
,0.017864258
,0.017864258
,0.017864258
,0.017863281
,0.017864258
,0.017864258
,0.018533203
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019201172
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.038880859
,0.037634766
,0.0315
,0.049825195
,0.064020508
,0.060200195
,0.045719727
,0.175269531
,0.30481543
,0.30481543
,0.30481543
,0.368644531
,0.432279297
,0.432080078
,0.432080078
,0.432080078
,0.278881836
,0.267957031
,0.410230469
,0.410224609
,0.410235352
,0.409640625
,0.204514648
